name,description,phone,email,website,address_line,city,capacity
Thống Nhất Stadium,https://en.wikipedia.org/wiki/Th%E1%BB%91ng_Nh%E1%BA%A5t_Stadium,,,,District 10,Ho Chi Minh City,14400
Phú Thọ Horse Racing Ground,https://en.wikipedia.org/wiki/Ph%C3%BA_Th%E1%BB%8D_Horse_Racing_Ground,,,,-1,-1,
Hanoi Indoor Games Gymnasium,https://en.wikipedia.org/wiki/Hanoi_Indoor_Games_Gymnasium,,,,"Trần Hữu Dực Street, Cầu Diễn Ward, Nam Từ Liêm District",Hanoi,3094
Phú Thọ Indoor Stadium,https://en.wikipedia.org/wiki/Ph%C3%BA_Th%E1%BB%8D_Indoor_Stadium,,,,No.1 Lữ Gia Street,Phú Thọ,5000
Quần Ngựa Sports Palace,https://en.wikipedia.org/wiki/Qu%E1%BA%A7n_Ng%E1%BB%B1a_Sports_Palace,,,,-1,30 Văn Cao Street,5500
Tân Bình Gymnasium,https://en.wikipedia.org/wiki/T%C3%A2n_B%C3%ACnh_Gymnasium,,,,"448 Hoàng Văn Thụ Road (Gate 1) and 18 Xuân Hồng Street (Gate 2), Tân Sơn Nhất",Ho Chi Minh City,2068
Hanoi Circuit,https://en.wikipedia.org/wiki/Hanoi_Circuit,,,,Nam Từ Liêm,Hanoi,
Vinh Stadium,https://en.wikipedia.org/wiki/Vinh_Stadium,,,,Vinh,Nghệ An,18000
Chi Lăng Stadium (1954),https://en.wikipedia.org/wiki/Chi_L%C4%83ng_Stadium_(1954),,,,-1,Đà Nẵng,30000
Chi Lăng Stadium (2016),https://en.wikipedia.org/wiki/Chi_L%C4%83ng_Stadium_(2016),,,,-1,-1,20500
Hàng Đẫy Stadium,https://en.wikipedia.org/wiki/H%C3%A0ng_%C4%90%E1%BA%ABy_Stadium,,,,Ô Chợ Dừa,Hanoi,22500
Long An Stadium,https://en.wikipedia.org/wiki/Long_An_Stadium,,,,-1,Tân An,19975
Mỹ Đình National Stadium,https://en.wikipedia.org/wiki/M%E1%BB%B9_%C4%90%C3%ACnh_National_Stadium,,,,"1 Lê Đức Thọ Rd, Từ Liêm Ward",Hanoi,40192
Thái Nguyên Stadium,https://en.wikipedia.org/wiki/Th%C3%A1i_Nguy%C3%AAn_Stadium,,,,Phúc Trìu,Thái Nguyên,22000
Thống Nhất Stadium,https://en.wikipedia.org/wiki/Th%E1%BB%91ng_Nh%E1%BA%A5t_Stadium,,,,District 10,Ho Chi Minh City,14400
Trống Đồng Stadium,https://en.wikipedia.org/wiki/Tr%E1%BB%91ng_%C4%90%E1%BB%93ng_Stadium,,,,Thượng Phúc,Hanoi,135000
Việt Trì Stadium,https://en.wikipedia.org/wiki/Vi%E1%BB%87t_Tr%C3%AC_Stadium,,,,"Hùng Vương Street, Thanh Miếu ward",Phú Thọ,20000
